Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,In Glacier,Size in Glacier,STATUS,Notes
0047_add_ms_11639,0047,,,A,British Library,5277669,5.033,add_ms_11639,,,,
0047_add_ms_15402,0047,,,B,British Library,171775,0.164,add_ms_15402,,,,
0047_add_ms_10456,0047,,,C,British Library,1677536,1.6,add_ms_10456,,,,
0047_add_ms_11657,0047,,,A,British Library,3595642,3.429,add_ms_11657,,,,
0047_add_ms_11830,0047,,,B,British Library,1435571,1.369,add_ms_11830,,,,
0047_add_ms_14760,0047,,,C,British Library,3560857,3.396,add_ms_14760,,,,
0047_add_ms_14761,0047,,,A,British Library,1223218,1.167,add_ms_14761,,,,
0047_add_ms_11828,0047,,,B,British Library,234054,0.223,add_ms_11828,,,,
0047_add_ms_11829,0047,,,C,British Library,116728,0.111,add_ms_11829,,,,
0047_add_ms_11831,0047,,,A,British Library,45701,0.044,add_ms_11831,,,,
0047_add_ms_11833,0047,,,B,British Library,46602,0.044,add_ms_11833,,,,
0047_add_ms_11834,0047,,,C,British Library,39041,0.037,add_ms_11834,,,,
0047_add_ms_14762,0047,,,A,British Library,516889,0.493,add_ms_14762,,,,
0047_add_ms_15250,0047,,,B,British Library,3909138,3.728,add_ms_15250,,,,
0047_add_ms_15251,0047,,,C,British Library,4536801,4.327,add_ms_15251,,,,
0047_add_ms_15252,0047,,,A,British Library,5427683,5.176,add_ms_15252,,,,
0047_add_ms_15282,0047,,,B,British Library,4518559,4.309,add_ms_15282,,,,
0047_add_ms_15283,0047,,,C,British Library,2779249,2.65,add_ms_15283,,,,
0047_add_ms_15306,0047,,,A,British Library,1724363,1.644,add_ms_15306,,,,
0047_add_ms_15423,0047,,,B,British Library,1226939,1.17,add_ms_15423,,,,
0047_add_ms_15451,0047,,,C,British Library,5527372,5.271,add_ms_15451,,,,
0047_add_ms_16577,0047,,,A,British Library,2497220,2.382,add_ms_16577,,,,
0047_add_ms_16916,0047,,,B,British Library,1456326,1.389,add_ms_16916,,,,
0047_add_ms_17050,0047,,,C,British Library,4788372,4.567,add_ms_17050,,,,
0047_add_ms_17052,0047,,,A,British Library,1672556,1.595,add_ms_17052,,,,
0047_add_ms_17055,0047,,,B,British Library,1787880,1.705,add_ms_17055,,,,
0047_add_ms_17058,0047,,,C,British Library,2259776,2.155,add_ms_17058,,,,
0047_add_ms_18229,0047,,,A,British Library,1850662,1.765,add_ms_18229,,,,
0047_add_ms_18230,0047,,,B,British Library,2075063,1.979,add_ms_18230,,,,
0047_add_ms_18691,0047,,,C,British Library,2606964,2.486,add_ms_18691,,,,
0047_add_ms_18692,0047,,,A,British Library,2661796,2.538,add_ms_18692,,,,
