Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,In Glacier,Size in Glacier,STATUS,Notes
0014_GalenSyriacPalimpsest,0014,,1,LARGE,Private Collection A,"372,303,892",355.057,GalenSyriacPalimpsest,0014_GalenSyriacPalimpsest,355.057,Fall 2019 batch,
0014_ArchimedesPalimpsest,0014,,1,LARGE,Private Collection A,"733,734,829",699.744,ArchimedesPalimpsest,0014_ArchimedesPalimpsest,699.744,Fall 2019 batch,
0020_PC1,0020,Data/OtherCollections,1,A,The Walters Art Museum,"9,124,724",8.702,PC1,0020_PC1,8.702,Fall 2019 batch,
0020_PC10,0020,Data/OtherCollections,1,LARGE,The Walters Art Museum,"120,244,971",114.675,PC10,0020_PC10,114.675,Fall 2019 batch,
0020_PC11,0020,Data/OtherCollections,1,A,The Walters Art Museum,"34,810,998",33.198,PC11,0020_PC11,33.198,Fall 2019 batch,
0020_PC2,0020,Data/OtherCollections,1,A,The Walters Art Museum,"24,952,886",23.797,PC2,0020_PC2,23.797,Fall 2019 batch,
0020_PC3,0020,Data/OtherCollections,1,A,The Walters Art Museum,"42,493,355",40.525,PC3,0020_PC3,40.525,Fall 2019 batch,
0020_PC4,0020,Data/OtherCollections,1,A,The Walters Art Museum,"35,242,327",33.61,PC4,0020_PC4,33.61,Fall 2019 batch,
0020_PC5,0020,Data/OtherCollections,1,A,The Walters Art Museum,"11,386,505",10.859,PC5,0020_PC5,10.859,Fall 2019 batch,
0020_PC6,0020,Data/OtherCollections,1,A,The Walters Art Museum,"53,194,255",50.73,PC6,0020_PC6,50.73,Fall 2019 batch,
0020_PC7I,0020,Data/OtherCollections,1,A,The Walters Art Museum,"35,374,885",33.736,PC7I,0020_PC7I,33.736,Fall 2019 batch,
0020_PC7II,0020,Data/OtherCollections,1,A,The Walters Art Museum,"37,007,915",35.293,PC7II,0020_PC7II,35.293,Fall 2019 batch,
0020_PC8,0020,Data/OtherCollections,1,A,The Walters Art Museum,"42,054,972",40.107,PC8,0020_PC8,40.107,Fall 2019 batch,
0020_PC9,0020,Data/OtherCollections,1,A,The Walters Art Museum,"22,203,175",21.175,PC9,0020_PC9,21.175,Fall 2019 batch,
0020_W595,0020,Data/WaltersManuscripts,1,LARGE,The Walters Art Museum,"211,254,029",206.303,W595,0020_W595,206.3027627,Fall 2019 batch,
0020_W760,0020,Data/WaltersManuscripts,1,LARGE,The Walters Art Museum,"220,115,950",214.957,W760,0020_W760,214.9569824,Fall 2019 batch,
0020_W307,0020,Data/WaltersManuscripts,1,LARGE,The Walters Art Museum,"229,342,300",223.967,W307,0020_W307,223.9670898,Fall 2019 batch,
0020_W535,0020,Data/WaltersManuscripts,1,LARGE,The Walters Art Museum,"233,327,473",227.859,W535,0020_W535,227.8588604,Fall 2019 batch,
0020_W602,0020,Data/WaltersManuscripts,1,LARGE,The Walters Art Museum,"251,207,073",245.319,W602,0020_W602,245.3194072,Fall 2019 batch,
0020_W133,0020,Data/WaltersManuscripts,1,LARGE,The Walters Art Museum,"255,033,033",249.056,W133,0020_W133,249.0556963,Fall 2019 batch,
0020_W563,0020,Data/WaltersManuscripts,1,LARGE,The Walters Art Museum,"340,316,039",332.340,W563,0020_W563,332.3398818,Fall 2019 batch,
0020_W525,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"43,650,714",42.628,W525,,,Fall 2019 batch,
0020_W170,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"28,171,520",27.511,W170,0020_W170,27.51125,Fall 2019 batch,
0020_W70,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"29,973,915",29.271,W70,0020_W70,29.27140137,Fall 2019 batch,
0020_W648,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"36,265,194",35.415,W648,0020_W648,35.41522852,Fall 2019 batch,
0020_W556,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"22,693,510",22.162,W556,0020_W556,22.16163086,Fall 2019 batch,
0020_W36,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"37,721,163",36.837,W36,0020_W36,36.83707324,Fall 2019 batch,
0020_W79,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"80,372,007",78.488,W79,0020_W79,78.48828809,Fall 2019 batch,
0020_W579,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"8,208,647",8.016,W579,0020_W579,8.016256836,Fall 2019 batch,
0020_W180,0020,Data/WaltersManuscripts,1,A,The Walters Art Museum,"22,991,463",22.453,W180,0020_W180,22.45260059,Fall 2019 batch,
0023_lewis_e_m_033_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","11,479",0.011,lewis_e_m_033_004,0023_lewis_e_m_033_004,0.011,Fall 2019 batch,
0023_lewis_e_m_033_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","11,662",0.011,lewis_e_m_033_005,0023_lewis_e_m_033_005,0.011,Fall 2019 batch,
0023_lewis_e_m_007_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","12,128",0.012,lewis_e_m_007_005,0023_lewis_e_m_007_005,0.012,Fall 2019 batch,
0023_lewis_e_m_033_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","17,859",0.017,lewis_e_m_033_011,0023_lewis_e_m_033_011,0.017,Fall 2019 batch,
0023_lewis_e_m_015_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","18,023",0.017,lewis_e_m_015_009,0023_lewis_e_m_015_009,0.017,Fall 2019 batch,
0023_lewis_e_m_012_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","19,285",0.018,lewis_e_m_012_016,0023_lewis_e_m_012_016,0.018,Fall 2019 batch,
0023_lewis_e_m_012_023,0023,,1,A,"Free Library of Philadelphia, Special Collections","19,559",0.019,lewis_e_m_012_023,0023_lewis_e_m_012_023,0.019,Fall 2019 batch,
0023_lewis_t167,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,504",0.02,lewis_t167,0023_lewis_t167,0.02,Fall 2019 batch,
0023_lewis_e_m_043_002b,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,623",0.02,lewis_e_m_043_002b,0023_lewis_e_m_043_002b,0.02,Fall 2019 batch,
0023_lewis_e_m_043_002a,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,659",0.02,lewis_e_m_043_002a,0023_lewis_e_m_043_002a,0.02,Fall 2019 batch,
0023_lewis_e_m_003_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,975",0.02,lewis_e_m_003_001,0023_lewis_e_m_003_001,0.02,Fall 2019 batch,
