Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0014_html,0014,,1,LARGE,Private Collection A,20,0,html,,
0014_GalenSyriacPalimpsest,0014,,1,LARGE,Private Collection A,"372,303,892",355.057,GalenSyriacPalimpsest,,
0014_ArchimedesPalimpsest,0014,,1,LARGE,Private Collection A,"733,734,829",699.744,ArchimedesPalimpsest,,
0020_html,0020,Data/OtherCollections,1,A,The Walters Art Museum,"2,613",0.002,html,,
0020_PC1,0020,Data/OtherCollections,1,A,The Walters Art Museum,"9,124,724",8.702,PC1,,
0020_PC10,0020,Data/OtherCollections,1,LARGE,The Walters Art Museum,"120,244,971",114.675,PC10,,
0020_PC11,0020,Data/OtherCollections,1,A,The Walters Art Museum,"34,810,998",33.198,PC11,,
0020_PC2,0020,Data/OtherCollections,1,A,The Walters Art Museum,"24,952,886",23.797,PC2,,
0020_PC3,0020,Data/OtherCollections,1,A,The Walters Art Museum,"42,493,355",40.525,PC3,,
0020_PC4,0020,Data/OtherCollections,1,A,The Walters Art Museum,"35,242,327",33.61,PC4,,
0020_PC5,0020,Data/OtherCollections,1,A,The Walters Art Museum,"11,386,505",10.859,PC5,,
0020_PC6,0020,Data/OtherCollections,1,A,The Walters Art Museum,"53,194,255",50.73,PC6,,
0020_PC7I,0020,Data/OtherCollections,1,A,The Walters Art Museum,"35,374,885",33.736,PC7I,,
0020_PC7II,0020,Data/OtherCollections,1,A,The Walters Art Museum,"37,007,915",35.293,PC7II,,
0020_PC8,0020,Data/OtherCollections,1,A,The Walters Art Museum,"42,054,972",40.107,PC8,,
0020_PC9,0020,Data/OtherCollections,1,A,The Walters Art Museum,"22,203,175",21.175,PC9,,
0023_lewis_e_m_033_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","11,479",0.011,lewis_e_m_033_004,,
0023_lewis_e_m_033_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","11,662",0.011,lewis_e_m_033_005,,
0023_lewis_e_m_007_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","12,128",0.012,lewis_e_m_007_005,,
0023_lewis_e_m_033_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","17,859",0.017,lewis_e_m_033_011,,
0023_lewis_e_m_015_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","18,023",0.017,lewis_e_m_015_009,,
0023_lewis_e_m_012_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","19,285",0.018,lewis_e_m_012_016,,
0023_lewis_e_m_012_023,0023,,1,A,"Free Library of Philadelphia, Special Collections","19,559",0.019,lewis_e_m_012_023,,
0023_lewis_t167,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,504",0.02,lewis_t167,,
0023_lewis_e_m_043_002b,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,623",0.02,lewis_e_m_043_002b,,
0023_lewis_e_m_043_002a,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,659",0.02,lewis_e_m_043_002a,,
0023_lewis_e_m_003_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","20,975",0.02,lewis_e_m_003_001,,
0023_lewis_e_m_003_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","21,341",0.02,lewis_e_m_003_003,,
0023_lewis_e_m_010_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","21,381",0.02,lewis_e_m_010_007,,
0023_lewis_e_m_005_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","21,619",0.021,lewis_e_m_005_011,,
