size,size_in_gb,directory
27689,0.03,ManuscriptDescriptions
109466,0.1,html
126151,0.12,W745
213911,0.2,W709
242241,0.23,W680
248949,0.24,W530B
306923,0.29,W530C
308539,0.29,W689
324175,0.31,W697
326813,0.31,W321
328081,0.31,W700
341819,0.33,W728
393785,0.38,W530A
398877,0.38,W705
433891,0.41,W873
436946,0.42,W681
444737,0.42,W794
476811,0.45,W707
481949,0.46,W865
483519,0.46,W699
488471,0.47,W686
491388,0.47,W703
494550,0.47,W696
504944,0.48,W812
509407,0.49,W678
510802,0.49,W710
516441,0.49,W903
516650,0.49,W876
520009,0.5,W748
524287,0.5,W694
528112,0.5,W749
530146,0.51,W693
535691,0.51,W683
537586,0.51,W704
550385,0.52,W747
558244,0.53,W695
562847,0.54,W712
564358,0.54,W715
569579,0.54,W682
572751,0.55,W675
579831,0.55,W701
583947,0.56,W685
584586,0.56,W518
586190,0.56,W692
595676,0.57,W889
604826,0.58,W687
605732,0.58,W690
609894,0.58,W904
611603,0.58,W757
617008,0.59,W714
619960,0.59,W708
621286,0.59,W746
627784,0.6,W713
631335,0.6,W732
632027,0.6,W702
642362,0.61,W912
656708,0.63,W688
663437,0.63,W423
688955,0.66,W874
690222,0.66,W731
698523,0.67,W691
699929,0.67,W711
774527,0.74,93110
779398,0.74,W839
782990,0.75,W417
787582,0.75,W698
811204,0.77,W771
811936,0.77,W840
818551,0.78,W756
907161,0.87,W739
908033,0.87,W530D-E
1195764,1.14,W530F-G
1312708,1.25,W544
1352780,1.29,W32
1459471,1.39,W9151-3
1470520,1.4,W679
1496166,1.43,W684
1499961,1.43,W65
1529276,1.46,83328
1599068,1.52,92431
1611293,1.54,W29
1640367,1.56,73122
1735553,1.66,W8
1849892,1.76,wam-kiosks
1900854,1.81,W23
2016557,1.92,W529
2081311,1.98,572335
2120520,2.02,92429
2244369,2.14,83329
2280312,2.17,W149
2327902,2.22,W674
2382652,2.27,W532
2447800,2.33,W754
2465341,2.35,W677
2632985,2.51,W788
2640173,2.52,3610
2742376,2.62,W443A-F
2775751,2.65,W750
3080011,2.94,9112
3266626,3.12,W548
3592389,3.43,W838
3599564,3.43,W508
3630705,3.46,W845
3981106,3.8,W352
4411124,4.21,W651
4462736,4.26,W676
5173598,4.93,W442A-D
5222283,4.98,W829
5244694,5,W578
5680737,5.42,W654
5944539,5.67,92993
6049143,5.77,W796
6129107,5.85,W844
6431927,6.13,W751
6583223,6.28,W478
6770986,6.46,W672
7043568,6.72,W734
7122010,6.79,W660
7144174,6.81,W553
7266971,6.93,W73
7687747,7.33,W842
8208647,7.83,W579
8720183,8.32,W106
9141642,8.72,W673
9234200,8.81,W615
9501342,9.06,W200
9521646,9.08,W769
9661041,9.21,W509
9734847,9.28,W581
9793452,9.34,W649
9905197,9.45,W589
10060929,9.59,W784
10283349,9.81,W786
10453223,9.97,W206
10865210,10.36,W10
11095549,10.58,W555
11624005,11.09,W504
11833172,11.28,W665
12041861,11.48,W507
12080546,11.52,W641
12176282,11.61,W643
12196650,11.63,W393
12210747,11.65,W16
12282257,11.71,W13
12389894,11.82,W21
12583892,12,W591
12601670,12.02,921087
12641594,12.06,W371
12808356,12.22,W669
13065827,12.46,W132
13397105,12.78,W86
13492492,12.87,92123
13579094,12.95,W76
13587460,12.96,W22
14188219,13.53,W20
14642198,13.96,W653
14692566,14.01,W575
14731090,14.05,W183
14811799,14.13,W432
14826042,14.14,W182
15006678,14.31,W5
15545093,14.82,W436
15593689,14.87,W848
15700457,14.97,W421
15999988,15.26,W208
16136605,15.39,W358
16449329,15.69,W552
16459949,15.7,W184
16513634,15.75,W431
16535019,15.77,W89
16779262,16,W433
16888771,16.11,W229
16895577,16.11,W583
17030596,16.24,WDL-1
17097836,16.31,W181
17213468,16.42,W218
17274045,16.47,W194
17462827,16.65,W849
17500493,16.69,W30
17613575,16.8,W656
17669116,16.85,W425
17704411,16.88,W600
17857681,17.03,W343
18156612,17.32,W68
18251312,17.41,W426
18314738,17.47,W567
18407755,17.56,W177
18508660,17.65,W404
18640741,17.78,W655
18650523,17.79,W12
19059318,18.18,W189
19176255,18.29,W536
19259343,18.37,W736
19295779,18.4,W637
19363734,18.47,W39
19685256,18.77,W198
19719193,18.81,W437
19923463,19,W355
20046127,19.12,W582
20103465,19.17,W179
20253483,19.32,W494
20297886,19.36,W340
20315956,19.37,W95
20379411,19.44,W918
20530406,19.58,W116
20546655,19.59,W165
20561404,19.61,W225
20584807,19.63,W596
20643199,19.69,W2
20953099,19.98,W670
21052912,20.08,W110
21602435,20.6,W447
21923336,20.91,W239
21997857,20.98,W42
22105134,21.08,W768
22110031,21.09,W190
22490089,21.45,W429
22631204,21.58,W388
22693510,21.64,W556
22991463,21.93,W180
23129435,22.06,W309
23299051,22.22,W534
23354474,22.27,W441
23379199,22.3,W791
23530916,22.44,W85
23538788,22.45,W633
23868094,22.76,W295
23998809,22.89,W834
24089282,22.97,W522
24122211,23,W671
24398909,23.27,W69
24409306,23.28,W44
24604113,23.46,W584
24788950,23.64,W740
24823177,23.67,W164
24837142,23.69,W476
25436161,24.26,W169
25515309,24.33,W527
25782904,24.59,W114
25789652,24.59,W204
25896461,24.7,W554
25970009,24.77,W428
26038353,24.83,W99
26062778,24.86,W269
26113530,24.9,W647
26120805,24.91,W111
26601359,25.37,W195
26683650,25.45,W719
26724029,25.49,W613
26733960,25.5,W192
26992929,25.74,W642
27195210,25.94,W662
27356229,26.09,W365
27425677,26.16,W435
27493375,26.22,W215
27523653,26.25,W661
27670909,26.39,W636
27760049,26.47,W782
27761903,26.48,W188
27953465,26.66,W202
28038639,26.74,W284
28123536,26.82,W178
28155300,26.85,W632
28171520,26.87,W170
28279987,26.97,W163
28419297,27.1,W635
28499775,27.18,W493
28617867,27.29,W262
28721399,27.39,W211
28788513,27.45,W81
28988901,27.65,W82
29131592,27.78,W270
29222078,27.87,W220
29363406,28,W282
29679230,28.3,W246
29973915,28.59,W70
30044583,28.65,W562
30126417,28.73,W43
30169615,28.77,W631
30184614,28.79,W561
30229516,28.83,W344
30345288,28.94,W266
30680962,29.26,W87
31142260,29.7,W934
31607051,30.14,W764
31626292,30.16,W577
31656128,30.19,W586
31737365,30.27,W629
31804554,30.33,W168
31815080,30.34,W172
32282301,30.79,W916
32316986,30.82,W545
32355168,30.86,W186
32592664,31.08,W41
32630546,31.12,W312
32636999,31.13,W434
32656063,31.14,W808
32677715,31.16,W585
32948810,31.42,W628
33026093,31.5,W4
33319167,31.78,W185
33458345,31.91,W173
33839618,32.27,W526
34230500,32.64,W171
34507495,32.91,W372
34744037,33.13,W176
35264342,33.63,W263
35471465,33.83,W644
35705017,34.05,W621
35830011,34.17,W464
36265194,34.59,W648
36421785,34.73,W668
36439223,34.75,W524
36472495,34.78,W546
37246829,35.52,W721
37334409,35.6,W267
37453847,35.72,W743
37616688,35.87,W510
37721163,35.97,W36
37913082,36.16,W279
38153611,36.39,W25
38297903,36.52,W117
38429904,36.65,W9
38935654,37.13,W627
39166331,37.35,W793
39527942,37.7,W291
39880944,38.03,W1
39974752,38.12,W802
39993652,38.14,W66
41155590,39.25,W330
41256065,39.34,W298
41292633,39.38,W277
41417326,39.5,W634
41435348,39.52,W105
41533560,39.61,W141
41878894,39.94,W666
41918795,39.98,W590
42135514,40.18,W35
43310589,41.3,W638
43541384,41.52,W439
43632673,41.61,W37
43650714,41.63,W525
44271640,42.22,W592
44293916,42.24,W11
44338296,42.28,W630
44391013,42.33,W292
44572910,42.51,W199
44854903,42.78,W568
44889948,42.81,W438
44917577,42.84,W144
45198134,43.1,W193
45498436,43.39,92548
46044080,43.91,W289
46686463,44.52,W26
46889583,44.72,W440
46943006,44.77,W547
47050083,44.87,W646
47344093,45.15,W166
47381310,45.19,W349
47416952,45.22,W580
47556835,45.35,W922
48563141,46.31,W281
48703313,46.45,W72
50066428,47.75,W3
50161672,47.84,W7
50178817,47.85,W196
50227327,47.9,W313
51045236,48.68,W733
51554255,49.17,W17
51726583,49.33,W104
52378930,49.95,W620
52446919,50.02,W90
52812340,50.37,W835
53077034,50.62,W167
53976439,51.48,W528
55025586,52.48,W853I
55174416,52.62,W314
55966836,53.37,W762
56044798,53.45,W853II
57479149,54.82,W88
57834394,55.16,W71
57927047,55.24,W645
58860218,56.13,W513
59710221,56.94,W588
60542169,57.74,W559
61081678,58.25,W175
61546396,58.7,W240
61747256,58.89,W51
62833114,59.92,W625
63131291,60.21,W420
63453442,60.51,W523
63828754,60.87,W113
63983534,61.02,W197
64111955,61.14,W427
64433552,61.45,W78
64711073,61.71,W619
65453124,62.42,W102
66350214,63.28,W663
66422785,63.35,W639
66823317,63.73,W652
68769639,65.58,W83
68875397,65.68,W520
70546391,67.28,W836
71433271,68.12,W847
71566943,68.25,W624
71653536,68.33,W45
72048279,68.71,W541
73190251,69.8,W598
73657012,70.24,W360
73827127,70.41,W622
75552726,72.05,W33
75798793,72.29,W542
75872479,72.36,W540
76085884,72.56,W597
77775307,74.17,W618
77933593,74.32,W650
78074820,74.46,W47
79609185,75.92,W96
80372007,76.65,W79
82279770,78.47,W640
82608611,78.78,W19
82871158,79.03,W604
84314160,80.41,W34
85230995,81.28,W533
88213030,84.13,W667
88925258,84.81,W850
89497408,85.35,W174
90757455,86.55,W538
90794939,86.59,W608
92759418,88.46,W617
93768689,89.42,W626
95613326,91.18,W611
97472033,92.96,W531
97873990,93.34,W354
98105214,93.56,W599
98134818,93.59,W917
98585626,94.02,W543
99103253,94.51,W315
100725935,96.06,W805
102536521,97.79,W616
104862152,100,W664
105261975,100.39,W605
105872170,100.97,W537
106600719,101.66,W15
106837152,101.89,W603
107938909,102.94,W607
108098895,103.09,W657
108539329,103.51,W612
111339807,106.18,W601
112704140,107.48,W606
114150978,108.86,W557
114407405,109.11,W521
115407343,110.06,W623
118890987,113.38,W659
126140868,120.3,W609
128228078,122.29,W148
131737627,125.63,W18
136326875,130.01,WDL-2
139993444,133.51,W610
140740655,134.22,W593
144452942,137.76,W142
161375847,153.9,W137
167160110,159.42,W761
169949424,162.08,W569
176845537,168.65,W539
184439628,175.9,W201
190711227,181.88,W759
