repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",13610,0.013,html,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",40293,0.038,ljs489,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",58830,0.056,ljsmisc4,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",66706,0.064,ljs33,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",78547,0.075,ljs391,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",80375,0.077,ljs115,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",102349,0.098,ljs119,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",107002,0.102,ljs108,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",115088,0.11,ljs310,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",120438,0.115,ljs309,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",121471,0.116,ljsmisc5,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",123966,0.118,ljs273,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",132389,0.126,ljs180_item12,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",145260,0.139,ljs180_item25,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",145721,0.139,ljs211,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",147618,0.141,ljs180_item16,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",159299,0.152,ljs180_item14,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",159853,0.152,ljs124,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",163362,0.156,ljs308,,
