size,folder
6429395,horace_ms_1a
4189444,horace_ms_1b
21783859,horace_ms_2
40028,html
119862774,lc_14_10
59119863,lc_14_12
34952045,lc_14_13
26851232,lc_14_14
21235271,lc_14_19
5061978,lc_14_20_5
5545742,lc_14_21
72623348,lc_14_23
7579880,lc_14_28
83974995,lc_14_9_5
377612,lewis_add_001
665039,lewis_add_002
651401,lewis_add_003
145253,lewis_add_004
25340243,lewis_e_001
45286558,lewis_e_002
7332567,lewis_e_003
13897803,lewis_e_004
2898399,lewis_e_005
71935631,lewis_e_006
15274752,lewis_e_007
9832438,lewis_e_008
3376631,lewis_e_009
48970960,lewis_e_010
8689906,lewis_e_011
20906120,lewis_e_012
24357748,lewis_e_014
47438304,lewis_e_015
22225180,lewis_e_016
69040735,lewis_e_017
3786011,lewis_e_018
10869807,lewis_e_019
15344234,lewis_e_020
10179791,lewis_e_021
36233822,lewis_e_022
53742544,lewis_e_023
8154660,lewis_e_025
23784803,lewis_e_026
54972778,lewis_e_027
56838184,lewis_e_028
17091902,lewis_e_029
50661888,lewis_e_030
63620788,lewis_e_031
42934763,lewis_e_032
29812344,lewis_e_033
74631953,lewis_e_034
55618026,lewis_e_035
34319494,lewis_e_036
220742765,lewis_e_037
106142459,lewis_e_038
47782192,lewis_e_039
12792484,lewis_e_040
19921364,lewis_e_042
49705266,lewis_e_043
13155590,lewis_e_044
27999737,lewis_e_045
19490639,lewis_e_046
22817209,lewis_e_047
93932475,lewis_e_048
5256265,lewis_e_049
31522873,lewis_e_050
24020899,lewis_e_051
10090011,lewis_e_052
32218372,lewis_e_053
13484980,lewis_e_054
2468822,lewis_e_057
15608141,lewis_e_058
15757857,lewis_e_059
11589511,lewis_e_064
18385091,lewis_e_065
38208167,lewis_e_066
9893365,lewis_e_068
53522464,lewis_e_069
8647188,lewis_e_070
10439088,lewis_e_071
1444084,lewis_e_072
35283872,lewis_e_073
42252036,lewis_e_076
104875352,lewis_e_077
23183415,lewis_e_078
44871623,lewis_e_079
57061440,lewis_e_081
42253024,lewis_e_082
3584429,lewis_e_083
28390705,lewis_e_084
13518395,lewis_e_085
12816735,lewis_e_086
6807086,lewis_e_087
10420058,lewis_e_088
13212517,lewis_e_089
17144559,lewis_e_090
15760851,lewis_e_091
15178838,lewis_e_092
26872829,lewis_e_093
28516438,lewis_e_094
19403827,lewis_e_095
18429547,lewis_e_096
15026361,lewis_e_097
15716042,lewis_e_098
21620661,lewis_e_099
10519594,lewis_e_100
20022878,lewis_e_101
24439127,lewis_e_102
8965619,lewis_e_103
33173503,lewis_e_104
8172971,lewis_e_105
10834826,lewis_e_106
13589532,lewis_e_107
17915668,lewis_e_108
12006774,lewis_e_109
12841060,lewis_e_110
13937096,lewis_e_111
12488273,lewis_e_112
8474215,lewis_e_113
6600886,lewis_e_114
12312029,lewis_e_115
4434884,lewis_e_116
12746046,lewis_e_117
9393657,lewis_e_118
11655016,lewis_e_119
16611833,lewis_e_120
14980895,lewis_e_121
7779160,lewis_e_122
11272208,lewis_e_123
8144179,lewis_e_124
8392504,lewis_e_125
8383001,lewis_e_126
6155248,lewis_e_127
13405422,lewis_e_128
10811258,lewis_e_129
8381509,lewis_e_130
24840700,lewis_e_131
15824716,lewis_e_132
21642722,lewis_e_133
10158932,lewis_e_134
14536268,lewis_e_135
20320278,lewis_e_136
22853265,lewis_e_137
21543206,lewis_e_138
44452498,lewis_e_139
9528798,lewis_e_140
97713569,lewis_e_142
10313518,lewis_e_143
9691114,lewis_e_144
40351278,lewis_e_145
22885030,lewis_e_148
8527606,lewis_e_149
8183212,lewis_e_150
9161883,lewis_e_151
5613299,lewis_e_153
6950536,lewis_e_154
18848823,lewis_e_156
103555658,lewis_e_157
68957599,lewis_e_158
4292910,lewis_e_159
66634535,lewis_e_160
79502654,lewis_e_161
