size_kb,folder
961082,ChristChurch.AccountingWardensPewRentAccountBooks_v221
1344083,ChristChurch.AccountingWardensPewRentAccountBooks_v222
1214173,ChristChurch.AccountingWardensPewRentAccountBooks_v223
1705191,ChristChurch.AccountingWardensPewRentAccountBooks_v224
2637142,ChristChurch.AccountingWardensPewRentAccountBooks_v225
1261832,ChristChurch.AccountingWardensPewRentAccountBooks_v226
1407879,ChristChurch.AccountingWardensPewRentAccountBooks_v227
2280207,ChristChurch.AccountingWardensPewRentAccountBooks_v228
2114064,ChristChurch.AccountingWardensPewRentAccountBooks_v229
2599415,ChristChurch.AccountingWardensPewRentAccountBooks_v230
1877883,ChristChurch.AccountingWardensPewRentAccountBooks_v231
3409377,ChristChurch.AccountingWardensPewRentAccountBooks_v232
2538048,ChristChurch.AccountingWardensPewRentAccountBooks_v233
2232989,ChristChurch.AccountingWardensPewRentAccountBooks_v234
2309226,ChristChurch.AccountingWardensPewRentAccountBooks_v235
2576086,ChristChurch.AccountingWardensPewRentAccountBooks_v236
2607010,ChristChurch.AccountingWardensPewRentAccountBooks_v237
2136135,ChristChurch.AccountingWardensPewRentAccountBooks_v238
2347678,ChristChurch.AccountingWardensPewRentAccountBooks_v239
2216962,ChristChurch.AccountingWardensPewRentAccountBooks_v240
2401702,ChristChurch.AccountingWardensPewRentAccountBooks_v241
2079932,ChristChurch.AccountingWardensPewRentAccountBooks_v242
1560351,ChristChurch.AccountingWardensPewRentAccountBooks_v243
1414206,ChristChurch.AccountingWardensPewRentAccountBooks_v244
1591695,ChristChurch.AccountingWardensPewRentAccountBooks_v245
1955599,ChristChurch.AccountingWardensPewRentAccountBooks_v246
1748415,ChristChurch.AccountingWardensPewRentAccountBooks_v247
1825612,ChristChurch.AccountingWardensPewRentAccountBooks_v248
2327313,ChristChurch.AccountingWardensPewRentAccountBooks_v249
1942441,ChristChurch.AccountingWardensPewRentAccountBooks_v250
2124582,ChristChurch.AccountingWardensPewRentAccountBooks_v251
2356909,ChristChurch.AccountingWardensPewRentAccountBooks_v252
1417504,ChristChurch.AccountingWardensPewRentAccountBooks_v253
2278437,ChristChurch.AccountingWardensPewRentAccountBooks_v254
2157307,ChristChurch.AccountingWardensPewRentAccountBooks_v255
2107697,ChristChurch.AccountingWardensPewRentAccountBooks_v256
2111314,ChristChurch.AccountingWardensPewRentAccountBooks_v257
2478839,ChristChurch.AccountingWardensPewRentAccountBooks_v258
2512669,ChristChurch.AccountingWardensPewRentAccountBooks_v259
2312980,ChristChurch.AccountingWardensPewRentAccountBooks_v260
2212057,ChristChurch.AccountingWardensPewRentAccountBooks_v261
2552724,ChristChurch.AccountingWardensPewRentAccountBooks_v262
1969128,ChristChurch.AccountingWardensPewRentAccountBooks_v263
2198601,ChristChurch.AccountingWardensPewRentAccountBooks_v264
2067473,ChristChurch.AccountingWardensPewRentAccountBooks_v265
2050041,ChristChurch.AccountingWardensPewRentAccountBooks_v266
1989681,ChristChurch.AccountingWardensSteepleAccounts1751_v386
5186210,ChristChurch.AccountingWardensStPetersSextonsBurials1789-1793_v368
4921457,ChristChurch.BuildingAndSteepleFund1739-1754
60550642,ChristChurch.RectorsRegisters_Baptisms1763-1810_v031
18859237,ChristChurch.RectorsRegisters_Baptisms1811-1831_v032
21380545,ChristChurch.RectorsRegisters_Baptisms1829-1868_v033
10457665,ChristChurch.RectorsRegisters_BaptismsMarriagesBurials1709-1718_v028
38913391,ChristChurch.RectorsRegisters_BaptismsMarriagesBurials1717-1749_v029
59075559,ChristChurch.RectorsRegisters_Burials1763-1831_v038
7185140,ChristChurch.RectorsRegisters_Burials1832-1978_v039
3822345,ChristChurch.RectorsRegisters_Marriages1836-1979_v037
10852382,ChristChurch.SextonsAccountBook_v367
1358,html
