size,repo,folder
2613,20,html
9124724,20,PC1
120244971,20,PC10
34810998,20,PC11
24952886,20,PC2
42493355,20,PC3
35242327,20,PC4
11386505,20,PC5
53194255,20,PC6
35374885,20,PC7I
37007915,20,PC7II
42054972,20,PC8
22203175,20,PC9
13610,1,html
5159735,1,ljs101
3772377,1,ljs102
255378,1,ljs103
107002,1,ljs108
211378,1,ljs110
80375,1,ljs115
102349,1,ljs119
159853,1,ljs124
34634144,1,ljs16
16566843,1,ljs163
31982959,1,ljs164
10713242,1,ljs165
9882527,1,ljs166
958145,1,ljs167
11810799,1,ljs168
26872243,1,ljs170
12411304,1,ljs171
6470528,1,ljs172
12409071,1,ljs173
19603278,1,ljs174
2641277,1,ljs175
9405918,1,ljs176
45365243,1,ljs177
1744998,1,ljs178
5070843,1,ljs179
254834,1,ljs180_item1
462895,1,ljs180_item10
267786,1,ljs180_item11
132389,1,ljs180_item12
166027,1,ljs180_item13
159299,1,ljs180_item14
433442,1,ljs180_item15
147618,1,ljs180_item16
388683,1,ljs180_item17
354442,1,ljs180_item18
467716,1,ljs180_item19
541057,1,ljs180_item2
174445,1,ljs180_item20
277101,1,ljs180_item21
196703,1,ljs180_item22
187170,1,ljs180_item23
191968,1,ljs180_item24
145260,1,ljs180_item25
190688,1,ljs180_item3
212590,1,ljs180_item4
511379,1,ljs180_item5
393544,1,ljs180_item7
244459,1,ljs180_item8
205076,1,ljs180_item9
1281837,1,ljs181
880194,1,ljs182
4303851,1,ljs183
25729386,1,ljs184
408770,1,ljs185
14464178,1,ljs186
1157248,1,ljs187
3511895,1,ljs188
49751933,1,ljs189
5655668,1,ljs19
14972097,1,ljs190
3331127,1,ljs191
13912812,1,ljs192
4399895,1,ljs194
11609915,1,ljs195
284444,1,ljs196
859338,1,ljs197
946902,1,ljs198
8189831,1,ljs199
10336360,1,ljs20
3905472,1,ljs200
211538,1,ljs201
14324156,1,ljs202
14857216,1,ljs203
3338345,1,ljs204
6989373,1,ljs205
16857224,1,ljs206
18773014,1,ljs207
2787160,1,ljs208
2344921,1,ljs209
7970511,1,ljs21
7129129,1,ljs210
145721,1,ljs211
203499,1,ljs212
6640911,1,ljs213
27290261,1,ljs214
10899697,1,ljs215
5611751,1,ljs216
1505065,1,ljs217
21139488,1,ljs218
44539184,1,ljs219
12670549,1,ljs22
9608789,1,ljs220
3151893,1,ljs221
144809177,1,ljs222
23768153,1,ljs223
18007635,1,ljs224
3281260,1,ljs225
1139652,1,ljs226
7226389,1,ljs229
5158311,1,ljs23
3566599,1,ljs231
8492192,1,ljs232
14414187,1,ljs234
3529011,1,ljs235
10178424,1,ljs236
22339728,1,ljs237
246780,1,ljs238
33912668,1,ljs239
15817163,1,ljs24
1394234,1,ljs242
11194440,1,ljs25
32955579,1,ljs251
177229,1,ljs252
43068534,1,ljs254
173207,1,ljs255
3871211,1,ljs26
9014047,1,ljs264
28184507,1,ljs265
6032364,1,ljs266
19128903,1,ljs267
27342740,1,ljs268
17434325,1,ljs27
297053,1,ljs271
9955391,1,ljs272
123966,1,ljs273
176223,1,ljs275
34650066,1,ljs278
1213292,1,ljs28
22719500,1,ljs280
255491,1,ljs285
18111843,1,ljs286
2367853,1,ljs289
7916785,1,ljs29
14182643,1,ljs293
3658170,1,ljs294
1793499,1,ljs295
10180092,1,ljs296
20360217,1,ljs299
45881219,1,ljs300
30679129,1,ljs304
163362,1,ljs308
120438,1,ljs309
115088,1,ljs310
7904698,1,ljs311
1879853,1,ljs312
192886,1,ljs313
245107,1,ljs314
704341,1,ljs319
6885708,1,ljs320
13734804,1,ljs321
8496038,1,ljs322
6983951,1,ljs325
66706,1,ljs33
6073524,1,ljs342
7329489,1,ljs345
3530612,1,ljs346
2918191,1,ljs347
511836,1,ljs35
11295038,1,ljs356
566596,1,ljs358
2463788,1,ljs359
221502,1,ljs36
3222938,1,ljs361
8826958,1,ljs37
1855749,1,ljs379
8352030,1,ljs38
10231712,1,ljs380
14534854,1,ljs381
4018608,1,ljs382
504115,1,ljs383
3429312,1,ljs384
7166255,1,ljs385
11560785,1,ljs386
35667578,1,ljs387
2167547,1,ljs388
11572478,1,ljs389
78547,1,ljs391
39381036,1,ljs392
6818373,1,ljs393
18832826,1,ljs394
214350,1,ljs395
5282495,1,ljs397
8224735,1,ljs398
5380517,1,ljs399
5815189,1,ljs40
44989407,1,ljs400
11920779,1,ljs401
24074895,1,ljs402
10967960,1,ljs403
9105496,1,ljs404
11797134,1,ljs405
4819478,1,ljs407
6492367,1,ljs408
601469,1,ljs409
807280,1,ljs41
8320692,1,ljs410
21337777,1,ljs411
3006541,1,ljs412
11664936,1,ljs414
4217876,1,ljs416
67053235,1,ljs417
1784198,1,ljs418
8620367,1,ljs419
13636959,1,ljs42
1339647,1,ljs420
2790706,1,ljs421
13377280,1,ljs_422
17751993,1,ljs423
33307604,1,ljs424
9610772,1,ljs425
28603720,1,ljs426
47594139,1,ljs427
1695426,1,ljs429
10769399,1,ljs43
2514323,1,ljs430
195455,1,ljs431
14100582,1,ljs432
3292905,1,ljs433
1410750,1,ljs434
11291186,1,ljs435
5702097,1,ljs436
6834592,1,ljs437
6374858,1,ljs438
4493089,1,ljs439
17998060,1,ljs441
31244397,1,ljs442
13001980,1,ljs443
23048631,1,ljs444
16768534,1,ljs445
38888960,1,ljs447
10261317,1,ljs449
283823,1,ljs45
45778628,1,ljs450
7863445,1,ljs451
11906737,1,ljs452
30186408,1,ljs453
7761302,1,ljs454
26849338,1,ljs455
2609451,1,ljs456
6457550,1,ljs457
12763477,1,ljs458
6778142,1,ljs459
27085766,1,ljs46
661163,1,ljs460
13244840,1,ljs461
1569924,1,ljs462
16448861,1,ljs463
12514640,1,ljs464
844906,1,ljs465
7607584,1,ljs466
1815060,1,ljs467
6884341,1,ljs468
1543344,1,ljs469
6284771,1,ljs47
8811995,1,ljs470
6186306,1,ljs471
5713541,1,ljs472
11586808,1,ljs473
15378647,1,ljs474
175931,1,ljs475
8285358,1,ljs476
5544829,1,ljs477
16126805,1,ljs478
7063281,1,ljs48
14816873,1,ljs481
14560322,1,ljs482
17122106,1,ljs483
11707524,1,ljs484
4466086,1,ljs485
8371810,1,ljs486
1020238,1,ljs487
1360981,1,ljs488
40293,1,ljs489
6362586,1,ljs49
13128249,1,ljs490
5371575,1,ljs491
849066,1,ljs492
164167,1,ljs493
2316816,1,ljs494
30889809,1,ljs495
2661396,1,ljs496
4074167,1,ljs497
13309705,1,ljs498
4945631,1,ljs499
6759144,1,ljs500
966981,1,ljs501
270340,1,ljs502
4709372,1,ljs51
3546457,1,ljs54
16995720,1,ljs55
3118035,1,ljs56
15292436,1,ljs57
3305621,1,ljs59
6566322,1,ljs60
22307346,1,ljs61
27530620,1,ljs62
